Date,Adj Close,Close,High,Low,Open,Volume
,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO
2024-12-13,1438.5,1438.5,1476.5,1438.5,1474.0,82547
2024-12-16,1442.5,1442.5,1443.5,1411.5,1427.0,148553
2024-12-17,1427.5,1427.5,1437.5,1405.0,1421.5,141277
2024-12-18,1486.5,1486.5,1496.5,1429.5,1430.5,145267
2024-12-19,1454.0,1454.0,1485.5,1439.0,1464.5,122922
2024-12-20,1462.0,1462.0,1462.0,1422.0,1454.0,232767
2024-12-23,1485.0,1485.0,1500.0,1453.5,1454.0,116865
2024-12-27,1507.5,1507.5,1511.0,1483.5,1483.5,97431
2024-12-30,1492.5,1492.5,1505.0,1490.0,1504.0,88038
2025-01-02,1531.0,1531.0,1537.0,1509.0,1509.0,116760
2025-01-03,1549.0,1549.0,1553.0,1519.0,1534.0,94291
2025-01-06,1569.0,1569.0,1573.0,1542.5,1560.0,96245
2025-01-07,1592.5,1592.5,1600.5,1570.0,1576.0,140295
2025-01-08,1599.5,1599.5,1626.0,1584.0,1603.0,131029
2025-01-09,1606.0,1606.0,1613.5,1595.0,1595.0,55044
2025-01-10,1607.5,1607.5,1615.0,1585.0,1604.5,72585
2025-01-13,1563.0,1563.0,1615.5,1563.0,1609.0,67209
2025-01-14,1575.0,1575.0,1631.5,1571.0,1602.5,102894
2025-01-15,1485.5,1485.5,1570.5,1433.5,1568.5,304185
2025-01-16,1525.5,1525.5,1527.0,1454.5,1480.0,151734
2025-01-17,1509.5,1509.5,1541.5,1502.5,1530.5,105720
2025-01-20,1510.0,1510.0,1517.0,1494.5,1503.0,50624
2025-01-21,1535.5,1535.5,1542.5,1494.0,1512.0,78927
2025-01-22,1510.0,1510.0,1581.0,1507.0,1560.0,108457
2025-01-23,1512.0,1512.0,1524.0,1491.5,1507.0,81121
2025-01-24,1503.0,1503.0,1530.0,1491.5,1530.0,86610
2025-01-27,1506.5,1506.5,1520.5,1481.0,1491.5,90168
2025-01-28,1364.5,1364.5,1472.5,1357.5,1467.5,440368
2025-01-29,1394.0,1394.0,1409.0,1380.0,1392.0,150001
2025-01-30,1410.0,1410.0,1417.0,1398.5,1413.5,107263
2025-01-31,1424.5,1424.5,1439.5,1407.5,1420.5,141181
2025-02-03,1393.5,1393.5,1406.0,1378.5,1399.0,84259
2025-02-04,1388.0,1388.0,1398.0,1366.0,1371.5,67122
2025-02-05,1402.5,1402.5,1402.5,1372.5,1385.0,110597
2025-02-06,1384.5,1384.5,1410.0,1380.5,1410.0,104664
2025-02-07,1385.0,1385.0,1392.5,1375.0,1380.0,70534
2025-02-10,1367.5,1367.5,1386.0,1315.0,1341.0,89198
2025-02-11,1372.5,1372.5,1383.0,1359.0,1368.0,100122
2025-02-12,1373.0,1373.0,1392.0,1351.5,1366.5,139101
2025-02-13,1490.0,1490.0,1490.0,1396.0,1426.0,284699
2025-02-14,1504.0,1504.0,1518.5,1491.0,1518.0,142557
2025-02-17,1509.5,1509.5,1517.0,1498.0,1507.5,81211
2025-02-18,1540.0,1540.0,1550.0,1501.0,1517.0,145274
2025-02-19,1549.5,1549.5,1552.5,1525.5,1540.0,147778
2025-02-20,1587.5,1587.5,1592.0,1532.5,1554.0,181297
2025-02-21,1583.0,1583.0,1603.0,1567.5,1590.0,143352
2025-02-24,1598.0,1598.0,1614.5,1589.5,1605.0,78868
2025-02-25,1637.0,1637.0,1647.0,1598.0,1598.0,131212
2025-02-26,1618.0,1618.0,1628.0,1609.0,1621.0,102025
2025-02-27,1614.5,1614.5,1629.5,1597.0,1606.0,79926
2025-02-28,1608.5,1608.5,1631.5,1604.0,1628.0,273505
2025-03-03,1635.0,1635.0,1661.0,1620.5,1626.0,120006
2025-03-04,1642.0,1642.0,1643.0,1621.5,1635.0,125739
2025-03-05,1654.5,1654.5,1667.0,1642.0,1642.0,120701
2025-03-06,1641.0,1641.0,1672.5,1626.0,1662.0,104433
2025-03-07,1659.5,1659.5,1665.0,1631.0,1636.0,110230
2025-03-10,1522.0,1522.0,1664.5,1487.0,1654.0,552736
2025-03-11,1382.0,1382.0,1530.0,1363.0,1517.0,492190
2025-03-12,1372.5,1372.5,1397.0,1356.5,1389.0,219535
2025-03-13,1367.0,1367.0,1388.0,1352.5,1372.5,162769
